  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
Complete match            =   3.51
Average crossing          =   3.45
No crossing               =  38.60
2 or less crossing        =  57.89
Tagging accuracy          =  76.03

-- len<=40 --
Number of sentence        =    267
Number of Error sentence  =      0
Number of Skip  sentence  =     21
Number of Valid sentence  =    246
Bracketing Recall         =  49.27
Bracketing Precision      =  62.51
Bracketing FMeasure       =  55.11
Complete match            =   4.07
Average crossing          =   2.15
No crossing               =  44.72
2 or less crossing        =  67.07
Tagging accuracy          =  75.44
